name	x	y	z	sph_radius	sph_theta	sph_phi	theta	radius
Fp1	0.951	0.309	0.000	1.000	18.000	0.000	-18.000	0.500
Fp2	0.951	-0.309	0.000	1.000	-18.000	0.000	18.000	0.500
F3	0.673	0.545	0.500	1.000	39.000	30.000	-39.000	0.333
F4	0.673	-0.545	0.500	1.000	-39.000	30.000	39.000	0.333
C3	0.000	0.707	0.707	1.000	90.000	45.000	-90.000	0.250
C4	0.000	-0.707	0.707	1.000	-90.000	45.000	90.000	0.250
P3	-0.673	0.545	0.500	1.000	141.000	30.000	-141.000	0.333
P4	-0.673	-0.545	0.500	1.000	-141.000	30.000	141.000	0.333
O1	-0.951	0.309	0.000	1.000	162.000	0.000	-162.000	0.500
O2	-0.951	-0.309	0.000	1.000	-162.000	0.000	162.000	0.500
F7	0.588	0.809	0.000	1.000	54.000	0.000	-54.000	0.500
F8	0.588	-0.809	0.000	1.000	-54.000	0.000	54.000	0.500
T7	0.000	1.000	0.000	1.000	90.000	0.000	-90.000	0.500
T8	0.000	-1.000	0.000	1.000	-90.000	0.000	90.000	0.500
P7	-0.588	0.809	0.000	1.000	126.000	0.000	-126.000	0.500
P8	-0.588	-0.809	0.000	1.000	-126.000	0.000	126.000	0.500
Fz	0.707	0.000	0.707	1.000	0.000	45.000	-0.000	0.250
Cz	0.000	0.000	1.000	1.000	0.000	90.000	-0.000	0.000
Pz	-0.707	-0.000	0.707	1.000	-180.000	45.000	180.000	0.250
Oz	-1.000	-0.000	0.000	1.000	-180.000	0.000	180.000	0.500
FC1	0.370	0.358	0.857	1.000	44.000	59.000	-44.000	0.172
FC2	0.370	-0.358	0.857	1.000	-44.000	59.000	44.000	0.172
CP1	-0.370	0.358	0.857	1.000	136.000	59.000	-136.000	0.172
CP2	-0.370	-0.358	0.857	1.000	-136.000	59.000	136.000	0.172
FC5	0.335	0.872	0.358	1.000	69.000	21.000	-69.000	0.383
FC6	0.335	-0.872	0.358	1.000	-69.000	21.000	69.000	0.383
CP5	-0.335	0.872	0.358	1.000	111.000	21.000	-111.000	0.383
CP6	-0.335	-0.872	0.358	1.000	-111.000	21.000	111.000	0.383
TP9	-0.284	0.875	-0.391	1.000	108.000	-23.000	-108.000	0.628
TP10	-0.284	-0.875	-0.391	1.000	-108.000	-23.000	108.000	0.628
CPz	-0.375	-0.000	0.927	1.000	-180.000	68.000	180.000	0.122
ECG	-0.000	0.000	-0.000	0.000	141.000	-48.000	-141.000	0.767
F1	0.700	0.283	0.656	1.000	22.000	41.000	-22.000	0.272
F2	0.700	-0.283	0.656	1.000	-22.000	41.000	22.000	0.272
C1	0.000	0.391	0.921	1.000	90.000	67.000	-90.000	0.128
C2	0.000	-0.391	0.921	1.000	-90.000	67.000	90.000	0.128
P1	-0.700	0.283	0.656	1.000	158.000	41.000	-158.000	0.272
P2	-0.700	-0.283	0.656	1.000	-158.000	41.000	158.000	0.272
AF3	0.891	0.360	0.276	1.000	22.000	16.000	-22.000	0.411
AF4	0.891	-0.360	0.276	1.000	-22.000	16.000	22.000	0.411
FC3	0.366	0.660	0.656	1.000	61.000	41.000	-61.000	0.272
FC4	0.366	-0.660	0.656	1.000	-61.000	41.000	61.000	0.272
CP3	-0.366	0.660	0.656	1.000	119.000	41.000	-119.000	0.272
CP4	-0.366	-0.660	0.656	1.000	-119.000	41.000	119.000	0.272
PO3	-0.891	0.360	0.276	1.000	158.000	16.000	-158.000	0.411
PO4	-0.891	-0.360	0.276	1.000	-158.000	16.000	158.000	0.411
F5	0.631	0.725	0.276	1.000	49.000	16.000	-49.000	0.411
F6	0.631	-0.725	0.276	1.000	-49.000	16.000	49.000	0.411
C5	0.000	0.927	0.375	1.000	90.000	22.000	-90.000	0.378
C6	0.000	-0.927	0.375	1.000	-90.000	22.000	90.000	0.378
P5	-0.631	0.725	0.276	1.000	131.000	16.000	-131.000	0.411
P6	-0.631	-0.725	0.276	1.000	-131.000	16.000	131.000	0.411
AF7	0.809	0.588	0.000	1.000	36.000	0.000	-36.000	0.500
AF8	0.809	-0.588	0.000	1.000	-36.000	0.000	36.000	0.500
FT7	0.309	0.951	0.000	1.000	72.000	0.000	-72.000	0.500
FT8	0.309	-0.951	0.000	1.000	-72.000	0.000	72.000	0.500
TP7	-0.309	0.951	0.000	1.000	108.000	0.000	-108.000	0.500
TP8	-0.309	-0.951	0.000	1.000	-108.000	0.000	108.000	0.500
PO7	-0.809	0.588	0.000	1.000	144.000	0.000	-144.000	0.500
PO8	-0.809	-0.588	0.000	1.000	-144.000	0.000	144.000	0.500
EOG_HL	0.429	0.742	-0.515	1.000	60.000	-31.000	-60.000	0.672
EOG_HR	0.429	-0.742	-0.515	1.000	-60.000	-31.000	60.000	0.672
EOG_VA	0.000	0.000	-0.000	0.000	25.000	-19.000	-25.000	0.606
EOG_VB	0.000	0.000	-0.000	0.000	28.000	-41.000	-28.000	0.728
